class,precision,recall,f1,support
Center,0.5852442671984048,0.7055288461538461,0.6397820163487739,832
Donut,0.544973544973545,0.7054794520547946,0.6149253731343284,146
Edge-Loc,0.7172218284904324,0.7301587301587301,0.7236324633535931,2772
Edge-Ring,0.8563273073263559,0.7992895204262878,0.8268259072117593,1126
Loc,0.6513497989661114,0.5747592498732894,0.6106623586429726,1973
Near-full,0.956989247311828,0.9368421052631579,0.9468085106382979,95
Random,0.883248730964467,0.6770428015564203,0.7665198237885462,257
Scratch,0.40298507462686567,0.4675324675324675,0.43286573146292584,693
Normal,0.9852838881611635,0.9852304857228029,0.9852571862183599,110701
